lat_deg,lon_deg,status_id,report_date,source,water_source_clean,water_tech_clean,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,clean_adm4,activity_id,scheme_id,wpdx_id,install_year,installer,rehab_year,rehabilitator,management_clean,pay_clean,status_clean,fecal_coliform_presence,fecal_coliform_value,subjective_quality,notes,local_population,assigned_population,facility_type,water_source_category,water_tech_category,created_timestamp,dataset_title,rehab_priority,would_gain_access,usage_cap,criticality,pressure,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,is_urban,days_since_report,staleness,prediction_yes_0y,prediction_yes_2y,prediction_no_0y,prediction_no_2y,predicted_status_0y,predicted_status_2y,predicted_category
#geo+lat,#geo+lon,#indicator+water_avail+bool,#date+reported,#meta+source,#indicator+water_source,#indicator+water_tech,#country+code+v_iso3,#country+name,#adm1+name,#adm2+name,#adm3+name,#adm4+name,#loc+water_point+id,#loc+water_point+scheme,#loc+wpdx+id,#date+install+year,#org+installer,#date+rehab+year,#org+rehabilitator,#indicator+management,#indicator+pay,#indicator+water_avail_detail,#indicator+fecal_coliform_presence+bool,#indicator+fecal_coliform_value+num,#indicator+subjective_quality,#description+notes,#indicator+pop_within_1km+num,#reached+assigned_pop,#indicator+facility_type,#indicator+water_source_category,#indicator+water_tech_category,#date+uploaded_to_WPdx,#meta+wpdx+dataset+title,#affected+rehab_priority,#inneed+would_gain_access,#indicator+usage_cap,#indicator+criticality,#indicator+pressure,#indicator+distance_to_primary,#indicator+distance_to_secondary,#indicator+distance_to_tertiary,#indicator+distance_to_city,#indicator+distance_to_town,#indicator+is_urban,#indicator+days_since_report,#indicator+staleness,#indicator+prediction_yes_0y,#indicator+prediction_yes_2y,#indicator+prediction_no_0y,#indicator+prediction_no_2y,#indicator+predicted_status_0y,#indicator+predicted_status_2y,#indicator+predicted_category
-15.786090000000002,28.193825,Yes,2014-12-02,SNV-Zambia,Borehole/Tubewell,Hand Pump - Rope,ZMB,Zambia,Lusaka,Kafue,,,KFDG2P,,5GPC657V+HG8,1996,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,2646,807,Improved,Well,,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.30498866213151926,2.69,31506.481202049323,18792.058717640342,3350.8615242485716,41985.10027677676,5001.685443744212,True,4254,26.160568628159446,,,,,,,
-15.78272,28.196505000000002,Yes,2014-12-02,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFKF1B,,5GPC658W+WJ6,1992,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,2675,605,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.2261682242990654,2.0166666666666666,31099.096633889985,19255.634433762854,3186.7184379754985,41557.430908249306,4788.944104207535,True,4254,26.160568628159446,,,,,,,
-15.780873333333334,28.188329999999997,Yes,2014-07-30,SNV-Zambia,Protected Well,Hand Pump - Rope,ZMB,Zambia,Lusaka,Kafue,,,KFATBW,,5GPC659Q+J9P,2000,GRZ|DANIDA,,,,,Functional,,,Taste: Good Color: Brown,,3654,1336,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.3656267104542967,4.453333333333333,31021.056880966706,19048.310816441786,2575.851859458863,41561.684594080165,4251.4204299355415,True,4379,25.14984198884606,,,,,,,
-15.762965000000001,28.16529666666667,Yes,2014-11-21,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFHF2B,,5GPC65P8+R47,2013,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,3511,1755,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.4998575904300769,5.85,29577.052166721776,19975.192440350667,930.8079534312059,40339.870722243126,2317.0223194058526,True,4265,26.070017983994937,,,,,,,
-15.799595,28.241006666666667,Yes,2014-12-02,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFDFAB,,5GPC662R+5C6,1998,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,663,185,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.2790346907993967,0.6166666666666667,32722.820860357955,20450.94629906971,6956.739451440845,42625.94201652279,9295.133004214737,False,4254,26.160568628159446,,,,,,,
-15.787105,28.20551833333333,Yes,2014-12-02,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFKF4B,,5GPC6674+562,1995,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,2420,958,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.3958677685950413,3.1933333333333334,31473.745465568816,19305.11628742323,4175.923217904181,41830.16572392317,5705.253296200806,True,4254,26.160568628159446,,,,,,,
-15.786075000000002,28.21474333333333,Yes,2014-12-02,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFDF7B,,5GPC6677+HVH,1996,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,1173,320,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.2728047740835465,1.0666666666666667,31281.265060809037,19925.27461231818,4830.51463050978,41534.849007214754,6230.740857261771,False,4254,26.160568628159446,,,,,,,
-15.785813333333332,28.220236666666665,Yes,2014-12-02,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFDG5B,,5GPC667C+M3H,2010,Kafue Child Fund,,,,,Functional,,,Taste: Good Color: Normal with yellowish particles,,225,122,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.5422222222222223,0.4066666666666667,31220.062774119106,20276.621211162703,5292.569220923263,41407.78735585942,6622.091464018325,False,4254,26.160568628159446,,,,,,,
-15.720660000000002,28.099405,Yes,2014-10-23,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFJCCB,,5GPC73HX+PQJ,1999,JICA,,,,,Functional,,,Taste: Good Color: Normal,,520,222,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.4269230769230769,0.74,27957.951465145798,21809.905352403093,2443.219092697224,38953.59689297832,8573.610864575065,False,4294,25.832793099177128,,,,,,,
-15.728413333333332,28.102435,Yes,2014-10-23,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFJCAB,,5GPC74C2+JXM,1999,JICA,,,,,Functional,,,Taste: Bitter but Drinkable Color: yello,,696,404,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.5804597701149425,1.3466666666666667,28535.638301457308,21043.950293696293,2578.9447880150065,39537.71255745819,8032.374430336043,False,4294,25.832793099177128,,,,,,,
